rank,score,team_name,kaggle_usernames,last_submission,submission_count
1635,1506.2,"NineThree",xiaoazuzong,2026-08-25 04:39:45,2
1636,1504.7,"lty",linwei9,2026-08-18 02:33:01,2
1637,1504.6,"Shree85",shree85,2026-08-22 02:48:36,2
1638,1504.5,"xingyun_byto",xingyunbyto,2026-08-25 05:22:11,2
1639,1504.1,"Multi-Head Farmers",horizen12,2026-08-24 17:18:13,2
1640,1503.3,"Nagamatsur",rihitonagamatsu,2026-08-24 13:10:56,2
1641,1503.2,"Jiri Prudky",jiprud,2026-08-20 20:58:26,2
1642,1503.1,"oh-Artistburger-AHA-TastyMeat!",akikukeo1,2026-08-16 11:54:46,1
1643,1503.0,"oni chan arigato",nabidnur,2026-08-24 18:57:36,2
1644,1501.9,"Agrofitting",evvfebruary,vinch97,2026-08-23 21:52:17,2
1645,1501.6,"Vishesh Banna",visheshbanna,2026-08-25 04:24:34,2
1646,1501.6,"Konno",nearfield1234,2026-08-23 07:23:20,2
1647,1501.4,"Yunioshi",yunioshi,2026-08-25 05:29:01,2
1648,1501.1,"Rajan Nagarajan",narajan,2026-08-16 05:27:10,2
1649,1501.1,"寿!",taka3776toshi,2026-08-12 06:45:37,1
1650,1498.7,"XueFeng Chen",chxfmcs,2026-08-22 14:26:25,2
1651,1498.0,"nRuaif",phngdoan,2026-08-22 02:47:10,2
1652,1496.8,"Emre Bayram",emrebayram,2026-08-14 09:04:57,2
1653,1496.8,"Narenthira Balaji",narenthirabalaji,2026-08-21 10:54:17,1
1654,1496.3,"Jiayi Tang",mannguo,2026-08-25 05:10:05,2
1655,1495.3,"July",julyzseven,2026-08-25 03:19:32,2
1656,1495.0,"Muhammed Ashiq Abdul Khader",ashiqabdulkhader,2026-08-12 07:13:09,2
1657,1494.3,"Tapabrata Biswas",dumbakaash,ishanhira,2026-08-24 10:17:49,2
1658,1493.9,"Elie Elias",elieelias,2026-08-12 14:14:48,2
1659,1493.5,"Vaishnavi22052006",vaishnavi22052006,2026-08-11 18:43:08,2
1660,1492.1,"Akhilesh godugu",akhileshgodugu,ashokgodugu,2026-08-24 04:27:46,2
1661,1491.1,"Salut!",denismekhanikov,2026-08-12 21:56:55,2
1662,1490.3,"zakihiro",zakihiro,2026-08-21 07:59:39,2
1663,1490.3,"Yusei Ito",yuseiito,2026-08-22 19:18:19,2
1664,1489.1,"Nine1Eight",wethepeople918,2026-08-24 16:51:12,1
1665,1488.7,"yiwen hou",hevenhina,2026-08-24 14:05:19,2
1666,1488.5,"Andrey ",anti1111,2026-08-24 14:27:38,1
1667,1488.0,"Heisnotanimposter",test013,2026-08-25 00:47:27,2
1668,1487.4,"hust_xll",hustxll,2026-08-12 05:38:12,2
1669,1486.9,"Luke Stafford",luketstafford,2026-08-25 01:16:05,2
1670,1486.8,"Labh Khatke",labhkhatke,2026-08-23 16:21:48,2
1671,1486.8,"Nikita Pudovkin",nickpudovkin,2026-08-17 09:15:54,1
1672,1486.2,"PursueML",pursueml,2026-08-20 14:19:46,2
1673,1485.5,"OzanM.",analyticaobscura,2026-08-24 09:29:53,2
1674,1485.2,"len8487",len8487,2026-08-23 08:37:33,2
1675,1484.2,"Trex",trexzone,2026-08-12 14:00:14,2
1676,1483.5,"Okan",okanzkaya,2026-08-21 11:15:17,2
1677,1481.9,"Brandon Calderon-Morales",bmoe640,2026-08-25 04:01:58,2
1678,1480.6,"Dandan Li",clcll532x,2026-08-15 18:07:17,2
1679,1480.4,"Moshel",moshel,2026-08-24 12:36:19,2
1680,1480.1,"Debmalya",debmalya84,2026-08-21 16:29:47,2
1681,1479.7,"saitamad",saitamad,2026-08-12 04:20:31,2
1682,1476.4,"Dicere",thedark735,2026-08-13 08:00:17,2
1683,1474.1,"Isaac Grossman",kingisaac,2026-08-19 01:39:27,2
1684,1473.8,"yvn kaggriculture",garnikdavtyan,mikayelgr,2026-08-22 21:04:56,2
1685,1473.1,"Chukunder",farbricated,sarikajivrajika,2026-08-16 02:25:12,2
1686,1472.0,"Alexandru Sitaru",sitaru,2026-08-25 01:47:45,2
1687,1471.3,"Lazarus Ogero",lazarusogero,2026-08-11 16:44:08,2
1688,1470.2,"motemen",motemen,2026-08-25 05:16:20,2
1689,1470.1,"old Ryne Mac had a farm",rynemac,2026-08-21 19:44:11,1
1690,1469.3,"E&M Pioneer",hzq2004,2026-08-25 04:30:56,2
1691,1467.8,"Bishwa Thakur",bishwathakur,2026-08-21 11:44:03,2
1692,1467.0,"akahane",shuheiakahane,2026-08-24 21:12:58,2
1693,1466.3,"Muhammad Ali",sardaralimaqsood,2026-08-14 06:47:06,2
1694,1465.8,"Bharath",pes2ug23cs121,2026-08-24 16:40:56,2
1695,1465.6,"Daniel Wu",danielwuu,2026-08-15 14:35:27,2
1696,1465.3,"Justin Sabu Sebastian",justinsabusebastian,2026-08-22 23:19:57,2
1697,1465.2,"ricardo",magania,2026-08-15 22:34:26,2
1698,1464.6,"Eric Han Wang",ericwang03,2026-08-25 05:21:05,2
1699,1464.1,"Abdullah Razi",abdullahroninrazi,2026-08-20 17:41:24,2
1700,1463.5,"VN-Orion",fastthanh78,2026-08-21 11:42:27,2
1701,1463.5,"kelly waldeck",kellywaldeck,2026-08-11 21:07:30,2
1702,1461.8,"edward1503",nguynnc,2026-08-17 04:22:50,2
1703,1460.8,"HaniJezo",hanijezo,2026-08-11 20:32:40,1
1704,1460.5,"Sri Jayavel K",srijayavelk,2026-08-20 08:18:31,2
1705,1460.2,"GansPiro",ganspiro,2026-08-13 18:34:26,2
1706,1459.5,"Athenix Kaggriculture",sdafdsfsdfgdsg,2026-08-24 18:23:54,2
1707,1459.2,"XDang13",xdang13,2026-08-19 00:17:47,2
1708,1457.7,"James Mcquay",jamesmcquay,2026-08-14 18:05:40,2
1709,1457.4,"Eura73",eura73,2026-08-21 08:07:47,2
1710,1456.4,"Colton Martin",coltonmartinnn,2026-08-23 23:05:44,2
1711,1455.9,"Braxton Dyer",braxtondyer,2026-08-23 16:52:06,2
1712,1455.4,"Abdulrahman.su10",abdulrahmansu10,2026-08-11 20:35:39,1
1713,1455.3,"vladee",vladee,2026-08-24 13:26:37,2
1714,1454.8,"Loshtradz",loshtradz,2026-08-16 15:27:31,2
1715,1454.8,"Gavin Cao",gavinxgcao,2026-08-16 09:00:53,2
1716,1454.0,"안녕하세요이세입니다잘부탁드립니다",moonswalk,municef1,2026-08-24 09:41:19,2
1717,1453.2,"An V1",barakuga,2026-08-25 01:13:21,2
1718,1452.7,"炫酷的小克里斯",tinfufans,2026-08-19 15:54:28,2
1719,1452.7,"🌽 High Frequency Farming 🌽",veshkinartem,2026-08-20 18:55:39,2
1720,1452.6,"Tianfu Wang (王天夫)",wangtf96,2026-08-12 15:08:12,2
1721,1452.4,"Goldian",goldian,2026-08-21 16:13:40,2
1722,1451.4,"Latifa Riziki",latifariziki,2026-08-12 09:38:13,2
1723,1450.7,"B.Pushpanjali",bpushpanjali,vinithwade,2026-08-11 06:28:45,2
1724,1450.0,"hnhyhj",hnhyhj,2026-08-13 04:05:56,2
1725,1449.8,"Seok, Jeongeum",seokjeongeum,2026-08-24 11:12:08,2
1726,1449.1,"maxingkong733",maxingkong733,2026-08-18 23:32:58,2
1727,1447.4,"Ani",anirudhk333,2026-08-24 17:07:50,2
1728,1446.5,"Jonathan Roy",jonathanroy7,2026-08-24 12:05:39,2
1729,1443.8,"rohith vinice",rohithvinice,2026-08-11 23:55:16,2
1730,1442.7,"Ashutosh Agarwal",ashutoshagarwal088,2026-08-24 08:49:47,2
1731,1442.6,"Ugnė Miklovaitė",ugnmiklovait,2026-08-25 05:09:27,2
1732,1440.8,"Zonglin Han",zonglinhan,2026-08-13 17:10:08,2
1733,1440.1,"cocoaAI",cocoaai,2026-08-21 06:03:38,2
1734,1439.2,"Phạm Vương",vuongphamqq,2026-08-11 16:17:10,2
1735,1438.8,"Shuichi Fushimi",shuichifushimi,2026-08-11 10:55:05,2
1736,1437.8,"sans",sans6262q,2026-08-12 03:14:55,2
1737,1437.8,"Yasemin Koç",yaseminmkoc,2026-08-14 05:52:52,2
1738,1437.5,"Felis",ilyaafanasenko,2026-08-24 19:09:36,2
1739,1437.0,"Sakhawat Hossen",sakhawathossen,2026-08-15 03:28:07,2
1740,1436.7,"Bassel Elbahnasy",basselashraf,2026-08-24 16:51:27,2
1741,1436.2,"Álvaro Benítez",lvarobentezlvarez,2026-08-24 06:33:00,2
1742,1435.8,"SpiralTip",spiraltip,2026-08-25 01:15:11,2
1743,1434.9,"Zuu3scode",zuu3scode,2026-08-12 15:19:16,2
1744,1432.7,"Andrew Markley",andrewmarkley1,2026-08-13 01:19:04,2
1745,1432.2,"ΛYMΞNRH",aymnrh,2026-08-11 06:43:55,2
1746,1431.1,"Adil Munawar",adilmunawar,2026-08-12 11:28:03,2
1747,1429.4,"KKY",evilpsycho42,2026-08-11 20:29:38,2
1748,1428.9,"XIAODOUZI",xiaodouzi666,2026-08-17 12:06:50,2
1749,1428.8,"Kyle Wang",ky1ewan9,2026-08-14 12:22:40,2
1750,1428.5,"Skibidi Six Seven",iam4722202468,2026-08-10 20:48:14,2
1751,1428.0,"Ankit Kumar",imankit57,2026-08-23 12:03:53,2
1752,1427.6,"Ahmed Khudair",ahmedkhudair121,2026-08-11 22:33:06,1
1753,1427.0,"Shushantw",shushantw,2026-08-18 02:20:50,2
1754,1426.8,"Tomoki Hirose",tomokihirose,2026-08-25 00:45:31,2
1755,1426.3,"Re2lawd",re2lawd,2026-08-21 04:08:14,2
1756,1425.7,"MohamedFD",mohamedfd,2026-08-13 12:32:47,2
1757,1425.4,"Changye Li",antoinegg1,2026-08-24 06:23:33,2
1758,1424.2,"Richard Tang",richardgtang,2026-08-11 01:09:34,2
1759,1423.8,"Hùng Nguyễn Huy (Hiirooo)",hngnguynhuy,2026-08-11 03:47:45,2
1760,1423.6,"Xiang Li",xianglipee,2026-08-22 06:14:03,2
1761,1423.0,"aghbalou Anass",aghbalouanass,2026-08-22 20:49:09,2
1762,1422.4,"Yijue1",yijue1,2026-08-11 02:15:05,2
1763,1421.9,"Utkarsh Prakash Srivastava",utkarshps,2026-08-20 06:40:41,2
1764,1421.6,"JiangWenfeng1",jiangwenfeng1,2026-08-12 01:25:29,2
1765,1421.4,"Vernon Campbell",vernoncampbell,2026-08-12 23:18:18,2
1766,1420.2,"sadatch",sadatch,2026-08-13 05:18:28,2
1767,1419.6,"FilipJ",filipjarmua,2026-08-16 18:34:05,2
1768,1419.6,"huyang111",huyang111,2026-08-10 16:23:44,2
1769,1419.0,"Ragunath Ravi",ragunathravi,2026-08-11 10:59:07,2
1770,1418.3,"Haggai Musoda",haggismusoda,2026-08-17 20:04:00,2
1771,1418.3,"Zakaria Settar",zakariasettar,2026-08-16 21:52:31,2
1772,1418.1,"Abdillah Sagif",abdillahsagif,2026-08-11 10:11:23,2
1773,1418.1,"Benser",benser,2026-08-15 14:41:24,2
1774,1418.0,"Kapadiya Nirav Kumar",kapadiyaniravkumar,2026-08-18 06:24:30,2
1775,1417.7,"HireMe",junta1104,2026-08-25 05:46:29,2
1776,1416.5,"Yuvraj singh",yuvrajsingh789,2026-08-13 14:03:24,2
1777,1416.1,"Garigariyong",garigariyong,2026-08-25 02:28:53,2
1778,1416.1,"Garv88",garv88,2026-08-13 12:19:20,2
1779,1414.8,"Baran Kucuk",barankucuk,2026-08-11 15:09:58,2
1780,1413.3,"JiMing Feng",jimingfeng,2026-08-17 10:56:45,2
1781,1412.7,"Deanos Crew",jamescole0101,2026-08-11 13:10:19,2
1782,1410.8,"Selahattin Günter",selahattingnter,2026-08-23 14:07:42,2
1783,1410.2,"BackFiring",backfiring,2026-08-24 22:37:04,2
1784,1408.7,"brocade",brocade,2026-08-15 00:01:12,2
1785,1408.6,"WYSSR1225",wyssr1225,2026-08-24 12:48:11,2
1786,1408.3,"TS2333",ts2333,2026-08-11 03:40:40,2
1787,1407.5,"Filippo Gombac",filippogombac,2026-08-11 10:04:26,2
1788,1406.8,"ko9ma",kohojung,2026-08-24 14:12:08,2
1789,1406.0,"MOHSIN525",mohsin525,2026-08-23 11:18:19,2
1790,1406.0,"tamo",ryotakasuya,2026-08-11 10:26:55,2
1791,1404.4,"razab Bawa",razabbawa,2026-08-20 12:10:43,2
1792,1404.3,"UknesIruka",uknesiruka,2026-08-11 11:13:46,2
1793,1404.3,"Desert Fox88",desertfox88,2026-08-11 12:02:03,2
1794,1403.4,"Haraguchi-T",haraguchit,2026-08-11 06:06:10,2
1795,1403.1,"ceh",emilhessman,2026-08-16 04:58:18,2
1796,1402.4,"Omkar Kadam",itzzomkar,khanayanayub,princypaonam,2026-08-24 17:07:18,2
1797,1402.1,"HELIOS reasonning",heliosreasonning,2026-08-11 22:38:55,2
1798,1402.0,"lixiuqixiaoke",lixiuqixiaoke,2026-08-25 05:19:48,2
1799,1401.9,"Samantha Nicole Bracamonte",snrbracamonte,2026-08-12 00:35:56,2
1800,1401.0,"Panos",panosc,2026-08-10 19:56:22,2
1801,1400.8,"wanwanuil",wanwanuil,2026-08-13 12:43:19,2
1802,1399.4,"あなまか",arakish,2026-08-24 06:17:44,2
1803,1399.4,"samg",samgreen2046,2026-08-23 14:30:09,2
1804,1399.2,"Krasnov Daniil",daniilkrasnovvv,2026-08-11 06:04:48,2
1805,1398.9,"t2better",t2better,2026-08-12 11:56:41,2
1806,1398.8,"riicon",risakashiwabara,2026-08-20 14:36:31,2
1807,1398.3,"PRADHAN RS",pradhanrs,2026-08-13 18:06:58,2
1808,1397.5,"Armanzhan Ayan",armanzhanayan,2026-08-11 16:49:36,2
1809,1397.0,"alexander kern",alexanderkern,2026-08-24 18:02:17,2
1810,1396.8,"midnq",midnqly,2026-08-11 20:44:47,2
1811,1396.6,"haogood666",haogood666,2026-08-11 08:25:40,1
1812,1396.6,"Niranjan Nakkala",niranjanmudhiraj,2026-08-11 12:26:14,1
1813,1396.4,"Justin CH123",justinch123,2026-08-11 09:15:28,2
1814,1396.2,"shehai.lrs",shehailrs,2026-08-11 13:37:32,2
1815,1395.7,"insuperabilehart",insuperabile,2026-08-24 14:58:37,2
1816,1394.9,"Victor's Team",dlordsjustified,jezrealmomoh,joludare,victorokpe,2026-08-12 12:05:19,2
1817,1394.3,"Dheeraj Kumar #3",kdheeraz,2026-08-12 04:05:32,2
1818,1393.6,"Sanzhar Almasuly",sanzharalmasuly,2026-08-17 07:52:31,2
1819,1393.1,"Jamie Nojek",jamienojek,2026-08-25 00:39:42,2
1820,1392.9,"A.K.NITHIN",aknithin,2026-08-12 12:07:32,2
1821,1392.2,"LX",sunnylx,2026-08-12 14:48:53,2
1822,1392.2,"Shivam_2212",shivam2212,2026-08-11 09:59:19,2
1823,1392.1,"Giallar",andreykrotkikh,2026-08-14 16:45:53,2
1824,1390.9,"JamesYip7",jamesyip7,2026-08-20 10:24:50,2
1825,1389.7,"Crisis Liu",crisisliu,2026-08-11 23:49:49,2
1826,1388.9,"mraz1006",mraz1006,2026-08-23 07:14:58,2
1827,1388.9,"ray",rayenezanned,2026-08-11 16:30:13,2
1828,1388.8,"Петьо Лазаров",pesosz,2026-08-10 22:30:35,2
1829,1388.0,"xiao cat q",xiaocatq,2026-08-12 01:41:13,2
1830,1388.0,"Fire Bird",xuanleekaggle,2026-08-11 20:36:45,2
1831,1387.3,"Narendra Sirvi",narendras78,2026-08-12 06:43:07,2
1832,1387.2,"Sangita Bannore",sangitabannore,2026-08-11 14:33:47,1
1833,1387.1,"Fujinawa",wasshoiwasshoi,2026-08-23 09:46:23,2
1834,1386.5,"Sushanth Tiruvaipati",sushanthtiruvaipati,2026-08-25 05:05:47,2
1835,1385.8,"vn1111",vn1111,2026-08-24 15:51:32,2
1836,1385.8,"sagar tripathy",sagar8trip,2026-08-13 15:57:56,2
1837,1385.2,"Alberto MV",albertomv,2026-08-10 23:06:33,2
1838,1384.9,"yaki-imo",taichiakiyama,2026-08-25 05:17:26,2
1839,1384.4,"Sahaj Deep Singh",sahajdeepsingh9877,2026-08-12 01:39:36,2
1840,1384.3,"Sheep Are All You need",aliyelbekov,2026-08-24 13:55:05,2
1841,1383.7,"Hoàng Quốc Việt ",viethwang3i,2026-08-25 00:17:40,2
1842,1383.7,"maximo lorenzo y losada",maximolorenzoylosada,2026-08-12 13:07:35,2
1843,1383.0,"taijunhao",taijunhao,2026-08-12 10:26:30,2
1844,1381.9,"henri66",henri665,2026-08-15 21:09:47,2
1845,1380.6,"ZZfancy",zzfancy,2026-08-11 12:04:42,2
1846,1379.8,"Tianfang Li",tianfangli1,2026-08-13 14:20:13,2
1847,1379.8,"yankang_XZK",yankang233,2026-08-12 05:20:35,2
1848,1379.7,"Singaraj B",singarajb,2026-08-24 11:01:27,2
1849,1379.0,"Mohamed abdelrazik",mohamed3abdelrazik,2026-08-20 05:12:35,2
1850,1378.9,"raw2clean",raw2clean,2026-08-12 08:12:12,2
1851,1378.0,"spellstriker",spellstriker,2026-08-12 22:03:20,2
1852,1377.2,"U023",ryutek,2026-08-11 22:04:04,1
1853,1377.0,"Yan",qujiahui,2026-08-10 21:29:25,1
1854,1376.0,"Kameron Green",hgenix20,2026-08-11 05:49:32,2
1855,1375.4,"José Luis Gómezz",josluisgmezz,2026-08-13 01:37:42,2
1856,1375.4,"apoyusiken",umutarpay,2026-08-12 06:10:52,2
1857,1374.6,"Mohamed Saeed",m0sm71,2026-08-11 18:58:08,2
1858,1374.0,"Kerem Ercin",keremercin,2026-08-24 12:54:51,2
1859,1373.4,"Monkeyzl",monkeyzl,2026-08-22 20:02:21,2
1860,1373.2,"J",junlinliunv,2026-08-24 03:33:01,2
1861,1373.0,"Ali Ramazanov",aliramazanov,2026-08-24 09:06:20,2
1862,1372.6,"Lester Leong",lesterleong,2026-08-11 02:13:33,2
1863,1372.4,"DK Armada",dkarmada,2026-08-23 06:43:41,2
1864,1372.3,"lingxiaojun",lingxiaojun,2026-08-24 02:49:47,2
1865,1372.2,"msd0110",morimo,msd0110,piiiiiiiii,qistripute,2026-08-23 12:36:51,2
1866,1371.9,"Chaitanya Sonaje",chaitanya205,2026-08-11 13:30:49,2
1867,1371.9,"Wander waal",wanderwaal,2026-08-11 02:48:56,2
1868,1371.4,"INDRAJIT SWAIN",indrajitswain,2026-08-15 13:23:37,2
1869,1371.3,"Yin Li",kevin250304,2026-08-13 01:02:33,2
1870,1371.1,"sukeke",sukeke,2026-08-20 22:56:46,2
1871,1370.9,"Sky kun",skykun,2026-08-24 12:52:49,2
1872,1370.7,"Sonu Kushwaha",sonukushwaha124,2026-08-14 06:24:28,2
1873,1370.6,"Yam",minyam,2026-08-23 15:01:21,2
1874,1370.5,"Mohit Babel",mohitbabel,2026-08-22 21:49:42,2
1875,1370.5,"EdGy2k",edgy2k,2026-08-10 10:41:12,2
1876,1370.0,"Sergei Myshianov",sergeimyshianov,2026-08-20 03:24:23,2
1877,1369.7,"Chin",qinyukun,2026-08-12 06:20:32,2
1878,1369.4,"Om Sangwan",omsangwan,2026-08-12 03:06:59,2
1879,1369.2,"Hejunhui",website98,2026-08-16 14:15:29,2
1880,1367.0,"Vishwa",rv1922,2026-08-11 05:46:58,2
1881,1365.5,"Hossein",tomi85,2026-08-12 02:56:17,2
1882,1365.0,"Hozuma ITOBAYASHI",hozumaitobayashi,2026-08-15 05:34:14,2
1883,1364.1,"LLE",rajaditya01,saiash,2026-08-22 16:50:40,2
1884,1363.6,"mudesteven",fastlight2007,2026-08-16 02:54:25,2
1885,1362.7,"Sardak Pavel",bebra3222,2026-08-24 11:51:58,1
1886,1362.7,"williamrawling",williamrawling,2026-08-24 03:14:39,2
1887,1362.3,"Gbining",gbining,2026-08-09 12:21:06,2
1888,1360.4,"Jeevan Jolly",jeevanjolly,2026-08-13 13:51:52,2
1889,1359.7,"Kyle #2",georgeturbo,2026-08-11 01:51:35,2
1890,1359.6,"Tejash Rai",tejashrai,2026-08-14 07:16:01,2
1891,1359.5,"edteoh",edteoh,2026-08-25 00:22:25,2
1892,1359.0,"Cu Spoon",cuspoon,2026-08-23 19:34:31,2
1893,1359.0,"Trip Meiners",tripmeiners,2026-08-11 19:26:55,2
1894,1358.7,"Alan Cai",alancai27,2026-08-10 22:36:40,1
1895,1358.6,"Othman Istaiteh",istatieh,2026-08-10 13:25:38,2
1896,1357.8,"hinemos",hinemos,2026-08-23 11:55:03,2
1897,1357.8,"Cuong Le",ad1999,2026-08-14 08:16:33,2
1898,1357.1,"nasu726",nasu726,2026-08-13 13:51:20,2
1899,1356.8,"Udbhaw Anand",udbhawanand,2026-08-22 13:15:18,2
1900,1356.6,"jorge fabian avila",jorgefabianavila,2026-08-10 18:51:13,2
1901,1356.3,"SM_30",sagarmane104,2026-08-24 15:52:59,2
1902,1355.2,"Aevion-Labs",aevionlabs,2026-08-10 14:44:32,2
1903,1354.3,"André Dkw",andrdkw,2026-08-10 17:17:25,2
1904,1353.1,"Carlos Navarro",navarr0,2026-08-14 05:26:26,2
1905,1352.8,"ljx59141421",ljx59141421,2026-08-12 01:27:08,2
1906,1351.3,"Fih",vencerlanz09,2026-08-25 05:15:04,2
1907,1351.1,"TrebolNoir_",trebolnoir,2026-08-17 12:45:30,2
1908,1350.8,"Apollo's cattles",icr007,kennethlie16,romanrozen,2026-08-25 04:51:40,2
1909,1350.4,"Mohammad Osamah Atif",osamatif,2026-08-19 08:46:32,2
1910,1350.4,"Enes Coşkun",enscskn,2026-08-11 05:37:38,2
1911,1350.0,"t-enstar",tstustatama,2026-08-22 13:07:31,1
1912,1349.3,"Sergi Bas",sergibas,2026-08-12 16:05:13,2
1913,1348.8,"yansf677",yansf677,2026-08-25 03:53:38,2
1914,1348.4,"Ronnie Atuhaire",ronnieatuhaire,2026-08-24 16:40:35,2
1915,1348.0,"Ushimaru",behindkun,2026-08-21 09:01:51,2
1916,1348.0,"Koba",zone0906,2026-08-23 06:15:55,2
1917,1346.7,"DavidX",davidasx,2026-08-11 06:05:18,2
1918,1346.6,"Amer Alkhalili",ameralkhalili,2026-08-24 17:04:15,2
1919,1346.6,"Pomiro",pomiro,2026-08-11 04:41:24,2
1920,1346.4,"harden james",ffusername,2026-08-12 08:00:14,1
1921,1345.8,"Binil George",binilg,2026-08-12 10:40:43,2
1922,1343.9,"Samrish B",samrishb,2026-08-10 14:25:50,2
1923,1343.5,"Janus",khaled1alhasan,2026-08-25 05:40:24,2
1924,1342.4,"CooperJiang",gingersna,2026-08-13 06:57:44,2
1925,1341.4,"Tuan Tran",thtuan,2026-08-10 16:29:40,2
1926,1340.9,"goosehaaan",goosehaaan,2026-08-25 04:21:37,1
1927,1339.9,"KiKi",kingkiller2164,2026-08-19 16:49:21,2
1928,1339.3,"Mathieu W",mathieuw,2026-08-24 14:42:56,2
1929,1338.5,"Harsha Vardhan",harshacode101,2026-08-10 07:33:35,2
1930,1338.4,"beanbamboozled",beanbamboozled,2026-08-10 10:45:19,2
1931,1338.2,"Ronald K Wilson ",ronaldkwilson,2026-08-18 08:34:28,2
1932,1338.0,"Momoko",yangmengyuanmomoko,2026-08-25 03:22:50,1
1933,1335.8,"Avish Sinha",avish006,2026-08-11 19:39:26,2
1934,1335.3,"A.P.R.I.L",puneeth333,2026-08-24 09:32:28,2
1935,1335.0,"DePie",phucthaiv02,2026-08-10 08:01:37,2
1936,1334.8,"Miaa1526",miaa1526,2026-08-24 08:58:42,2
1937,1334.8,"John Ogah",johnogah,2026-08-16 03:54:21,2
1938,1332.5,"Варим сельский самогон",asimandia,2026-08-10 16:23:21,2
1939,1332.5,"adakoda",adakoda,2026-08-12 01:49:13,2
1940,1330.8,"Peter Thompson",mightytreefolk,2026-08-10 17:59:36,2
1941,1329.9,"yukiZ",hideyukizushi,2026-08-12 12:10:09,2
1942,1328.6,"Chris Murphy",mur418,2026-08-18 00:02:10,2
1943,1326.8,"CloverFarm",ljs2546,2026-08-23 08:50:13,2
1944,1326.2,"Qimra1729",qimra1729,2026-08-13 00:09:57,1
1945,1325.5,"XiaoZhiren",ruikangan,xiaozhiren,2026-08-10 13:03:56,2
1946,1323.3,"Muhiminul Islam   Mahim",muhiminulislammahim,2026-08-12 10:04:35,2
1947,1321.6,"Animesh Ratna",animeshratna,2026-08-23 22:01:35,2
1948,1320.7,"Amon",kingaemon,2026-08-16 06:09:04,2
1949,1320.2,"John Keith Weber",johnkeithweber,2026-08-13 05:18:03,2
1950,1319.8,"Suavemango",suavemango,2026-08-12 05:18:03,2
1951,1318.1,"Avnish Sharma",kewlaz,2026-08-25 05:05:10,2
1952,1318.0,"Jordan",extergeist,2026-08-25 02:51:29,2
1953,1315.8,"Kujaomega",kujaomega,2026-08-10 22:13:02,1
1954,1315.7,"Rafal Porwol",rafalporwol,2026-08-21 18:42:37,2
1955,1315.7,"cerensukaramese",cerensukaramese,2026-08-14 09:18:05,2
1956,1315.7,"my",ryyymy,2026-08-18 06:01:08,2
1957,1314.8,"Harvester",yudhis16,2026-08-21 13:57:05,2
1958,1314.4,"Siddhu Jaykay",siddhujaykay,2026-08-12 14:02:29,2
1959,1313.6,"typeIIIfairy",typeiiifairy,2026-08-19 13:09:28,2
1960,1312.7,"Vishwamitra Mishra",vishwa007,2026-08-24 15:49:33,2
1961,1312.1,"Sere1n",chacc0,2026-08-24 06:51:52,2
1962,1311.8,"zhangwei02",zhangwei02,2026-08-13 12:41:33,2
1963,1311.4,"Alchemical Retard.",alchemicalretard,2026-08-20 07:28:07,2
1964,1307.5,"Bang sion",bangsioni,2026-08-22 10:06:06,2
1965,1307.3,"Burhan Ul Tayyab",babychick,2026-08-10 10:55:43,2
1966,1306.2,"Marco DG",marcodg,2026-08-11 06:20:14,2
1967,1304.5,"Naym0425",naym0425,2026-08-14 04:20:36,2
1968,1304.5,"Will Rice",willrice,2026-08-21 00:14:31,2
1969,1303.1,"Jake #2",decotoj,2026-08-23 16:48:14,1
1970,1302.7,"Александр Арутюнян",alexarut17,2026-08-13 05:20:18,2
1971,1302.5,"CurveCowboy",curvecowboy,2026-08-14 21:01:17,2
1972,1302.1,"hicham bedrani",hichambedrani,2026-08-24 19:06:23,2
1973,1300.7,"Anurag H H",anur4ghh,2026-08-19 11:36:30,2
1974,1299.0,"IskanderAkhmetov",iskander2017,2026-08-11 07:43:50,2
1975,1298.7,"Matthew Labrador",m4tyuuu,2026-08-10 13:24:21,2
1976,1298.3,"Bru3ll",bru3ll,2026-08-09 15:50:45,2
1977,1297.2,"Krilin",krilin,2026-08-23 16:21:15,2
1978,1297.0,"meryol",meryol,2026-08-25 00:32:44,2
1979,1295.7,"Tom Yim",tomyim,2026-08-12 05:12:30,2
1980,1295.7,"nianyu",nianyuc,2026-08-10 09:46:32,2
1981,1294.8,"Dhavan Shah",dhavanshah99,2026-08-12 18:20:38,2
1982,1294.0,"gagacrow",gagacrow,2026-08-24 01:22:58,2
1983,1293.8,"Scorpi",scorpi,2026-08-12 01:34:25,2
1984,1293.3,"Kavinkumar M",kavinkumarrkm,2026-08-24 14:11:41,2
1985,1293.1,"parv goyal2",parvgoyal2,2026-08-23 14:20:08,2
1986,1290.1,"xerkey",xerkey,2026-08-23 11:41:12,2
1987,1287.3,"Simon Rüba",simonrba,2026-08-10 14:23:16,2
1988,1287.1,"Youssef EL MSIYAH",youssefelmsiyah,2026-08-09 12:07:55,2
1989,1285.5,"Mike Murunov",mikhailmurunov,2026-08-16 15:18:17,2
1990,1284.8,"Straw Hat",anuragugargol,tanishafagare114,2026-08-11 06:14:47,2
1991,1284.6,"Lu Mingming",mming0430,2026-08-21 03:21:19,2
1992,1284.1,"Affriza Wildan Fauzan",affrizawildanfauzan,2026-08-25 04:25:29,2
1993,1283.6,"Dania Amer",dania35,2026-08-25 01:09:13,2
1994,1283.6,"peeta pit",peetapit,2026-08-24 17:19:46,2
